Год;Число занятых в экономике (тыс. чел);Число занятых в КГУ (тыс. чел);Доля КГУ в численности занятых;Капитализация - всего;Капитализация КГУ;Доля КГУ в капитализации;Доля КГУ в объеме корпоративных облигаций;Выручка в экономике;Выручка в КГУ;Доля КГУ в выручке;Дивиденды в экономике (180 компаний);Дивиденды КГУ;Дивиденды частных;Доля дивидендов КГУ;Темпы роста реального ВВП %;ВВП, млрд руб.;Выручка в КГУ;Выручка ГУП;Сектор государственного управления, добавленная стоимость;Доля КГУ в ВВП,  % (с базой 2КГУ);Доля ГУП в ВВП, %;Доля СГУ  в ВВП,%;Индекс размера государственного сектора 2019
2000;65070;;;1146.11;543.29;47.40;;20738.63;1883.67;9.08;;;;;10.00;7305.60;1883.67;387.16;515.84;19.98;4.11;7.06;31.15
2001;65123;;;2260.38;753.87;33.35;;20552.83;1851.09;9.01;;;;;5.10;8943.60;1851.09;504.64;708.80;19.81;5.40;7.93;33.14
2002;66659;;;3359.12;1068.05;31.80;;23292.73;1950.62;8.37;;;;;4.70;10830.50;1950.62;566.85;1032.99;18.42;5.35;9.55;33.33
2003;66339;;;5236.11;1710.20;32.66;11.15;30016.00;3081.81;10.27;;;;;7.30;13208.20;3081.81;725.55;1268.97;22.59;5.32;9.61;37.51
2004;67319;;;6472.20;2833.75;43.78;19.11;43233.00;3796.25;8.78;;;;;7.20;17027.20;3796.25;824.22;1613.74;19.32;4.19;9.48;32.99
2005;68339;;;15524.79;6643.47;42.79;18.22;47301.00;5197.90;10.99;;;;;6.40;21609.80;5197.90;920.16;1933.57;24.18;4.28;8.95;37.40
2006;69169;3883;5.61;25482.00;13950.00;54.74;22.40;60460.18;7381.00;12.21;991702.72;95777.78;895924.93;9.66%;8.20;26917.20;7381.00;987.92;2486.79;26.86;3.59;9.24;39.69
2007;70770;3961;5.60;32740.00;17334.00;52.94;22.12;75280.62;9079.00;12.06;351148.98;134287.38;216861.59;38.24%;8.50;33247.51;9079.00;1129.37;3079.41;26.53;3.30;9.26;39.10
2008;71003;4702;6.62;11017.30;5636.00;51.16;24.70;87604.90;11794.00;13.46;372203.04;135252.74;236950.31;36.34%;5.20;41276.85;11794.00;1278.76;3915.46;29.62;3.21;9.49;42.32
2009;69410;4911;7.08;23090.90;12149.00;52.61;37.42;83450.25;12346.00;14.79;238784.54;72442.18;166342.36;30.34%;-7.80;38807.22;12346.00;1334.57;4563.03;32.55;3.52;11.76;47.82
2010;69934;4956;7.09;28974.67;13433.00;46.36;35.45;102596.99;15203.00;14.82;340883.83;114373.83;226510.00;33.55%;4.50;46308.54;15203.00;1427.04;5191.30;32.60;3.06;11.21;46.87
2011;70857;5154;7.27;24550.56;11725.00;47.76;35.89;120183.33;18707.00;15.57;561552.91;183325.59;378227.31;32.65%;4.30;60282.54;18707.00;1585.29;7138.85;34.24;2.90;11.84;48.99
2012;71545;5176;7.23;24657.02;12005.00;48.69;38.00;140774.24;20344.00;14.45;828270.30;424837.41;403432.89;51.29%;3.70;68163.88;20344.00;1640.52;8491.99;31.79;2.56;12.46;46.82
2013;71391;5197;7.28;25255.57;11732.00;46.45;40.72;174224.28;23786.00;13.65;906625.66;399749.43;506876.23;44.09%;1.80;73133.90;23786.00;1777.68;9810.34;30.04;2.24;13.41;45.69
2014;71539;5281;7.38;22838.24;10296.00;45.08;47.19;185318.76;27296.00;14.73;1200039.71;574576.56;625463.15;47.88%;0.70;79199.66;27296.00;1821.44;10686.20;32.40;2.16;13.49;48.06
2015;72425;5232;7.22;28733.18;13405.00;46.65;51.91;207013.91;29511.00;14.26;1157524.17;418264.83;739259.35;36.13%;-2.50;83232.62;29511.00;1961.26;11157.97;31.36;2.08;13.38;46.83
2016;72065;5220;7.24;37748.04;18413.00;48.78;54.07;214302.00;30804.00;14.37;1296043.56;547212.96;748830.59;42.22%;-0.20;86043.65;30804.00;2025.83;11743.43;31.62;2.08;13.63;47.33
2017;72438;5434;7.50;35895.75;18121.00;50.48;61.99;220283.00;33913.00;15.40;1740636.64;916004.43;824632.21;52.62%;1.50;92037.00;33913.00;2049.70;12285.49;33.87;2.05;13.35;49.08
2018;72411;5560;7.68;39715.00;20474.00;51.55;70.04;232053.00;40630.00;17.51;2200983.17;1201074.62;999908.55;54.57%;2.30;103626.00;40630.00;3073.28;13514.04;38.52;2.91;13.04;53.30
2019;71764;5523;7.70;48639.60;25861.00;53.17;71.81;239868.00;41239.00;17.19;3069366.77;1719514.44;1349852.33;56.02%;1.50;92037.00;41239.00;2235.57;14411.14;37.82;2.05;13.10;53.14
2020;70601;5954;8.43;51428.00;25666.25;49.91;71.01;243561.00;38088.00;15.64;2556714.78;1430811.87;1125902.91;55.96%;-3.10;106967.00;38088.00;2098.43;15619.55;34.40;1.90;14.60;51.06
2021;71719;6156;8.58;62603.73;31902.00;50.96;75.38;295651.00;56074.50;18.97;3310894.65;1706091.33;1604803.32;51.53%;4.70;131015.00;56074.50;1870.80;16929.00;41.73;1.39;12.92;56.23
